price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,street,age_of_house,has_been_renovated,city_encoded,statezip_encoded
201000.0,3.0,1.0,1460,9750,1.0,0,0,4,1460,0,30928 148th Ave SE,56,0,17,293579.35420743836
265000.0,2.0,1.0,1290,2828,2.0,0,0,3,1290,0,23549 NE 111th St,17,0,30,648667.2204968971
870300.0,4.0,2.5,2350,3150,1.5,0,0,4,1690,660,4410 Burke Ave N,115,0,34,545532.34142857
339000.0,3.0,1.0,1080,8100,1.0,0,0,4,1080,0,20248 20th Ave NE,70,1,35,370952.20634920633
690000.0,4.0,2.5,2670,13463,2.0,0,0,4,2670,0,24127 SE 45th Pl,36,0,15,589797.8536155238
788000.0,4.0,3.25,3680,5759,2.0,0,0,3,2840,840,570 Wilderness Peak Dr NW,22,0,15,559025.8225806452
315275.0,3.0,1.75,1440,8040,1.0,0,0,3,960,480,11521 22nd Ave NE,74,1,34,437633.48214285716
505000.0,4.0,1.75,1940,4800,1.0,0,0,5,1030,910,414 14th Ave,103,1,34,561183.4248366079
368000.0,3.0,1.0,1280,9898,1.0,0,0,3,1280,0,13222 NE 193rd Pl,57,1,41,547078.1818181818
947500.0,3.0,2.75,2980,27144,1.5,1,2,5,2180,800,Indian Trail,108,0,6,384487.6587301714
156000.0,3.0,1.0,970,8580,1.0,0,0,3,970,0,29621 18th Ave S,66,1,14,308897.9411764706
610000.0,4.0,3.0,2110,5000,1.5,0,2,4,1640,470,9319 45th Ave SW,95,0,34,467855.29054054053
420000.0,2.0,2.5,1480,1369,3.0,0,0,3,1480,0,8107 165th Ave NE,16,0,30,619430.5331338617
192000.0,2.0,1.0,700,10540,1.0,0,0,3,700,0,124 SW 185th St,72,0,25,420256.26461989473
910000.0,3.0,2.0,2700,6120,1.0,0,0,4,1350,1350,124 NE 61st St,63,0,34,556859.1290584431
840000.0,4.0,2.75,2600,2750,1.5,0,0,3,1620,980,2455 Queen Anne Ave N,89,0,34,728941.6666666666
300000.0,2.0,1.75,1360,8100,1.0,0,0,3,860,500,13730 2nd Ave NW,50,0,34,581250.1711711622
505000.0,4.0,2.5,2780,6369,1.0,0,0,3,1590,1190,9311 NE 142nd St,47,0,18,474532.8407413582
110000.0,3.0,1.0,1250,53143,1.0,0,0,5,1250,0,19693-19799 SE Maple Valley Hwy,80,0,20,330745.7583333281
746000.0,3.0,2.5,2620,8950,2.0,0,0,3,2620,0,16580 SE 57th Pl,33,0,3,637304.5820105873
211000.0,3.0,1.5,1350,7620,1.0,0,0,5,1350,0,16251 12th Ave SW,84,0,6,412924.875
675000.0,4.0,3.0,2400,3340,1.0,0,0,4,1200,1200,618 NW 49th St,61,0,34,549978.2926829269
734200.0,4.0,2.5,2760,5000,1.5,0,0,5,1680,1080,950 NW 60th St,97,1,34,550386.0
615000.0,2.0,1.75,2040,28593,1.5,1,3,4,2040,0,23014 Vashon Hwy SW,106,1,40,444097.82608695654
630000.0,4.0,2.0,1770,6000,2.0,0,0,5,1770,0,3219 34th Ave W,114,1,34,626202.8656898462
301500.0,2.0,1.5,830,1333,2.0,0,0,3,830,0,5650 Fauntleroy Way SW,20,0,34,476948.25
369000.0,2.0,2.5,980,895,2.0,0,0,3,670,310,1716 California Ave SW,16,0,34,561450.2925926
635000.0,3.0,2.5,1570,1433,3.0,0,0,3,1570,0,7815 Stroud Ave N,15,0,34,573333.5524781327
1033888.0,4.0,3.25,3270,5187,2.0,0,0,3,3110,160,10774 155th Pl NE,11,0,30,619430.5331338617
383000.0,4.0,2.5,2160,6223,2.0,0,0,3,2160,0,22442-22446 Southeast 281st Court,15,0,20,339177.2345991519
1050000.0,4.0,3.75,3280,11000,2.0,0,0,3,2320,960,1313 4th St,17,0,18,677096.5865384615
455000.0,4.0,2.5,3360,7685,2.0,0,0,3,3360,0,18416 172nd Ct SE,24,0,31,342541.5762023284
819900.0,5.0,2.75,3150,7119,2.0,0,0,3,3150,0,8082-8160 142nd Ave NE,12,1,30,640012.906504061
625000.0,3.0,3.5,1810,1846,2.0,0,0,4,1440,370,512-598 21st Ave,16,0,34,577127.5460992978
651000.0,4.0,2.5,2740,7140,2.0,0,0,3,2740,0,2476 239th Pl NE,32,0,32,585092.6527134478
480000.0,5.0,4.75,3830,35000,1.0,0,0,3,2130,1700,18125 194th Ave NE,49,0,41,667518.359375
757000.0,3.0,3.25,3190,5283,2.0,0,0,3,3190,0,2065 NE Nelson Ln,18,0,15,567669.1527777812
460000.0,3.0,2.25,2350,10450,1.0,0,0,3,1390,960,15801 63rd Ave NE,48,1,16,421035.4263565814
267345.0,4.0,2.25,2510,8165,1.0,0,0,4,1610,900,2831 SW 327th St,53,0,14,290325.9439775735
530000.0,2.0,2.0,1680,4950,1.0,0,0,3,1680,0,23726 NE 134th Pl,19,0,30,647939.0338164127
449500.0,3.0,2.0,1770,6610,1.0,0,0,4,960,810,19293 Stone Ave N,71,1,35,385408.69696969696
289000.0,3.0,1.0,1090,7315,1.0,0,0,5,1090,0,4018 NE 6th Ct,44,0,31,369952.02086049155
373000.0,5.0,2.5,3001,5710,2.0,0,0,3,3001,0,25523 123rd Pl SE,19,0,17,266951.5301587
525000.0,5.0,3.0,2450,4591,2.0,0,0,3,2450,0,7349 24th Ave NW,31,0,34,550596.4760438709
777000.0,3.0,3.25,3610,59677,2.0,0,0,3,2440,1170,18913 SE 63rd Pl,22,0,15,577727.6909090909
550000.0,4.0,2.0,2250,7500,1.0,0,0,5,1200,1050,2448 137th Ave SE,69,0,3,774075.3529411765
523000.0,3.0,1.5,1240,7735,1.0,0,0,4,1240,0,1020 163rd Ave SE,68,1,3,515648.3870967742
628000.0,4.0,2.0,2260,6000,1.0,0,0,3,1430,830,8028 27th Ave NE,67,1,34,556315.335628229
581000.0,4.0,1.75,2090,8164,1.0,0,0,4,1070,1020,7408 138th Pl NE,62,0,30,624435.8156142577
245000.0,5.0,1.75,2020,7902,1.0,0,0,3,1220,800,10412 Aqua Way S,63,1,34,217939.0586080577
415000.0,3.0,1.75,1960,5000,1.0,0,0,5,980,980,4958 12th Ave S,114,1,34,335102.09375
225000.0,3.0,1.5,1250,7500,1.0,0,0,3,1250,0,1405 E Maple St,58,1,17,279362.87557603227
287000.0,3.0,2.25,1490,9600,1.0,0,0,4,1170,320,27020 NE Ring St,38,0,11,400267.23809522856
799200.0,6.0,3.0,2890,2370,2.5,0,0,3,2290,600,420 Boylston Ave E,119,1,34,545648.1818181818
239950.0,3.0,1.0,1900,33888,1.5,0,0,4,1900,0,36400-36452 51st Ave S,83,1,1,262977.0844155909
591000.0,3.0,1.75,1680,2400,1.0,0,0,5,870,810,1600-1608 25th Ave,103,1,34,537582.6099290851
700000.0,3.0,2.5,2030,8398,2.0,0,0,4,2030,0,18307 NE 19th Pl,50,0,3,527845.0
475000.0,4.0,2.5,3740,8700,1.0,0,0,3,2260,1480,16700 SE 161st St,21,1,31,348981.0381426269
575000.0,3.0,1.75,1580,11750,1.0,0,0,4,1180,400,5461 S Othello St,74,1,34,417964.82479784905
771000.0,3.0,2.25,1780,6120,1.5,0,0,4,1390,390,171 Lake Washington Blvd,98,0,34,547383.3191489362
155000.0,2.0,1.0,910,6232,1.0,0,0,3,910,0,4812 S Chicago St,82,1,34,427231.7867317963
550000.0,7.0,4.0,3440,8100,2.0,0,0,3,3440,0,718 N 95th St,55,1,34,573333.5524781327
645000.0,3.0,2.5,1740,13750,2.0,0,0,4,1740,0,1673 Rosemont Blvd,50,0,3,525100.0
464000.0,5.0,2.5,3400,8970,1.0,0,0,4,1700,1700,14700 Burke Ave N,66,0,35,371489.1559139839
1050000.0,4.0,3.25,4400,16625,2.0,0,0,3,4400,0,27747 SE 24th Way,22,0,32,704935.8610634528
350000.0,3.0,2.5,2010,14298,2.0,0,0,3,2010,0,10711 SW 111th Pl,48,1,40,497659.6153846154
591000.0,4.0,2.25,2710,38180,2.0,0,0,4,2710,0,19615 182nd Ave NE,48,0,41,667518.359375
717000.0,3.0,1.5,1310,3880,1.0,0,0,3,1090,220,7325 Earl Ave NW,69,1,34,550596.4760438709
225000.0,4.0,1.5,1950,12559,1.5,0,0,3,1950,0,4030-4198 S 186th St,86,1,33,254619.8947368421
225000.0,3.0,1.0,1040,6535,1.0,0,0,3,1040,0,12446 21st Ave S,78,1,34,225802.52014651924
345000.0,3.0,1.75,1090,7200,1.0,0,0,3,1090,0,12033 NE 136th Pl,57,1,18,487216.3179074507
230000.0,2.0,0.75,650,5360,1.0,0,0,4,650,0,13540 Burke Ave N,94,0,34,382729.54166667187
385000.0,3.0,2.0,1480,6600,1.0,0,2,3,740,740,4115 SW 106th St,82,1,34,381237.15
90000.0,2.0,1.0,790,2640,1.0,0,0,3,790,0,14710 122nd Pl NE,52,1,18,484086.7109279723
860000.0,4.0,2.5,3560,11119,1.0,0,2,3,2290,1270,3883 112th Ave NE,39,0,3,753416.0
675000.0,4.0,2.5,3000,5548,2.0,0,0,3,3000,0,11409 SE 71st Pl,19,0,24,382986.4639804603
975000.0,4.0,2.5,3490,7494,2.0,0,3,3,3490,0,4902 159th Pl SE,25,0,3,637304.5820105873
780000.0,3.0,1.75,2340,10495,1.0,0,0,4,2340,0,8421 SE 72nd Pl,58,0,22,746248.75
370000.0,3.0,1.75,1650,8254,1.0,0,0,5,1060,590,18015 25th Ave NE,74,0,35,383241.83246528124
665000.0,3.0,2.0,1940,5820,1.5,0,0,5,1150,790,324 NW 48th St,81,0,34,537163.8636363636
675000.0,5.0,3.0,3410,9600,1.0,0,0,4,1870,1540,2830 177th Ave NE,57,0,30,640012.906504061
620000.0,3.0,1.0,1710,4050,1.5,0,0,3,1710,0,6101-6149 Corliss Ave N,116,1,34,564242.7747917623
450000.0,3.0,2.75,1250,892,2.0,0,0,3,1040,210,2301 California Ave SW,15,0,34,563028.5277777857
450000.0,3.0,2.25,2450,42180,1.0,0,0,4,2450,0,17081-17183 SE Wax Rd,47,1,9,300443.0600414058
530000.0,3.0,1.75,1690,8190,1.0,0,0,4,1690,0,2711 126th Ave SE,67,1,3,730816.513888875
635000.0,4.0,1.75,1950,13320,1.0,0,0,4,1370,580,15018 NE 10th Pl,56,0,3,593506.3492063334
580000.0,5.0,2.0,2290,7125,1.0,0,0,3,1190,1100,16541 NE 27th Pl,61,1,3,515648.3870967742
285000.0,3.0,1.0,1090,8640,1.0,0,0,4,1090,0,16014 16th Ave SW,52,0,6,381899.70867209753
375000.0,3.0,1.0,1190,9486,1.0,0,0,4,1190,0,217 SW 191st St,72,1,25,384487.6587301714
560000.0,3.0,1.0,1440,5000,2.0,0,0,3,1440,0,6206 Phinney Ave N,115,1,34,564242.7747917623
405000.0,4.0,1.75,2180,13529,1.0,0,0,3,1090,1090,16722 32nd Pl NE,69,1,19,369062.37934028124
413000.0,4.0,1.0,1410,6000,1.0,0,0,3,810,600,4118 32nd Ave SW,100,1,34,423460.26999968855
287600.0,3.0,2.5,1950,8251,2.0,0,0,3,1950,0,4222 S 288th Pl,35,1,1,255846.34161491302
225000.0,3.0,1.0,1660,7210,1.0,0,0,3,1100,560,29140 42nd Ave S,62,1,1,255846.34161491302
319000.0,3.0,1.0,1390,12823,1.0,0,0,4,1390,0,15846 196th Pl NE,57,0,41,667518.359375
322500.0,3.0,2.0,1350,14200,1.0,0,0,3,1350,0,14405 274th Ct NE,36,0,11,410282.7160493704
570000.0,3.0,2.0,1530,5401,1.0,0,0,4,1530,0,7741 22nd Ave NE,88,0,34,547746.2142857143
465000.0,3.0,1.5,1270,5112,1.0,0,0,3,1270,0,3616 NE 65th St,75,1,34,556315.335628229
435000.0,4.0,2.25,2140,6355,2.0,0,0,3,2140,0,7125 Silent Creek Ave SE,23,0,37,514963.86363636365
502000.0,4.0,2.5,2040,5616,2.0,0,0,3,2040,0,7617 NE 201st Pl,13,1,16,426868.6231883913
525000.0,3.0,3.5,2876,5086,2.0,0,0,3,2360,516,12467 NE 171st Pl,18,0,41,547078.1818181818
525000.0,3.0,2.5,1580,1161,2.0,0,0,3,1010,570,213 26th Ave E,17,0,34,725709.6153846154
660000.0,4.0,3.5,3400,5196,2.0,0,0,3,3400,0,9314 Ash Ave SE,13,1,37,522562.62
870000.0,4.0,2.5,3520,6773,2.5,0,0,3,2650,870,7921 45th Ave SW,19,0,34,467855.29054054053
650000.0,4.0,2.5,2210,4861,2.0,0,0,3,2210,0,615 NW 92nd St,12,1,34,537247.9186534736
505000.0,4.0,2.5,2790,5602,2.0,0,0,3,2790,0,5138 NE 8th St,16,0,31,469746.3665158382
330000.0,3.0,2.5,1450,5008,1.0,0,0,3,840,610,6544 18th Ave SW,18,0,34,287049.3055555625
385000.0,4.0,1.75,1620,4980,1.0,0,0,4,860,760,10037 Interlake Ave N,78,1,34,385408.69696969696
306000.0,3.0,1.5,1220,1086,3.0,0,0,3,1220,0,353 N 105th St,18,0,34,378160.2523809571
546000.0,3.0,1.75,2000,5000,1.0,0,0,4,1110,890,7730 33rd Ave NW,104,0,34,543390.0565200625
925000.0,4.0,2.5,2190,7350,2.5,0,0,5,2190,0,3446 77th Ave SE,67,0,22,738167.658914721
542000.0,4.0,1.75,1900,8250,1.0,0,0,4,950,950,3810 145th Ave SE,70,1,3,669023.2658730159
800000.0,3.0,1.0,1700,4400,1.5,0,0,4,1700,0,1109 32nd Ave,119,1,34,561183.4248366079
620000.0,5.0,2.5,2540,3832,2.0,0,0,5,1760,780,7558 32nd Ave NW,96,0,34,533824.0323426591
175000.0,2.0,1.0,1170,8925,1.0,0,2,3,1170,0,921 S 223rd St,114,1,10,293099.45454545453
740000.0,5.0,5.0,5774,31675,1.0,0,2,3,4490,1284,28511 10th Ave S,41,0,14,292579.7368421053
345000.0,3.0,2.25,2120,15003,2.0,0,0,3,2120,0,14319 165th Pl SE,41,0,31,469778.3384703288
510000.0,3.0,1.75,2170,26460,1.0,0,0,3,1450,720,721 222nd Pl NE,39,0,32,596782.334213527
530000.0,4.0,2.75,2450,15002,1.0,0,0,5,2450,0,404 SW 197th St,51,0,25,420256.26461989473
155000.0,2.0,1.0,700,5200,1.0,0,0,5,700,0,475-547 Monroe Ave NE,73,1,31,400593.1206896552
266000.0,3.0,2.5,1780,7214,1.0,0,0,4,1400,380,26205 119th Dr SE,39,0,17,284608.61904761294
257200.0,3.0,2.0,1850,8250,1.0,0,0,4,1150,700,200 Pike St SE,73,0,1,224015.38461538462
265000.0,3.0,2.0,1570,5706,1.0,0,0,3,1570,0,11549 SE 319th Pl,27,1,1,355295.69330105087
372220.0,3.0,1.0,1290,5500,1.0,0,0,3,980,310,4607 SW Cloverdale St,74,1,34,467855.29054054053
337500.0,5.0,2.0,1700,7314,1.0,0,0,3,1000,700,6000-6048 22nd Ave S,69,1,34,326447.75675675675
582500.0,2.0,1.5,1159,4800,1.0,0,0,3,1159,0,4254 33rd Ave W,77,1,34,657435.9612403023
489200.0,3.0,2.75,1850,9600,1.5,0,0,5,1850,0,8622 NE 139th St,60,0,18,474532.8407413582
405100.0,2.0,1.0,840,3522,1.0,0,0,3,840,0,2901 W Elmore St,78,1,34,626202.8656898462
372977.0,3.0,2.5,1690,1618,2.0,0,0,3,1150,540,2500 Mulberry Walk NE,11,0,15,595362.919658123
310000.0,3.0,1.0,1050,9876,1.0,0,0,3,1050,0,18527 Kenlake Pl NE,72,0,16,443294.9629629556
538000.0,3.0,1.75,1400,3825,1.5,0,0,4,1100,300,6917 28th Ave NW,121,0,34,533824.0323426591
317000.0,3.0,2.5,1840,5011,2.0,0,0,3,1840,0,21560 SE 275th Ct,13,1,20,339177.2345991519
702500.0,3.0,1.5,2360,6750,2.0,0,0,5,1930,430,2145 N 88th St,99,0,34,564963.2736842105
565000.0,4.0,2.5,2240,14667,2.0,0,0,4,2240,0,13547 SE 83rd St,36,0,24,478091.4173438169
723000.0,4.0,2.5,2700,4004,2.0,0,0,3,2700,0,2363 30th Ave NE,21,1,15,567669.1527777812
766950.0,3.0,2.5,3030,30007,1.5,0,0,4,3030,0,15905 Saybrook Dr NE,33,0,41,572636.3970588235
682000.0,3.0,1.75,1830,5120,1.5,0,2,5,1830,0,322 16th Ave,122,0,34,547383.3191489362
325000.0,3.0,2.5,2220,6049,2.0,0,0,4,2220,0,11909 SE 228th Pl,35,0,17,285148.65401785716
543000.0,3.0,2.5,2090,7640,1.0,0,0,3,1360,730,14836 Densmore Ave N,63,1,35,371489.1559139839
525000.0,3.0,1.75,1600,6120,1.5,0,0,3,1600,0,7557 35th Ave NE,101,1,34,556859.1290584431
364000.0,4.0,1.75,2010,8625,1.0,0,0,4,1340,670,16501-16515 Carlyle Hall Rd N,68,1,35,378160.2523809571
394475.0,2.0,1.0,830,4000,1.0,0,0,3,830,0,8715 17th Ave NW,70,1,34,552826.3942617391
316000.0,4.0,2.5,2010,7226,2.0,0,0,3,2010,0,1522 55th Ct SE,30,0,1,354025.0730117288
339950.0,3.0,1.0,1050,5402,1.5,0,0,4,1050,0,1807 17th Ave S,119,1,34,525061.0434782609
486000.0,4.0,2.5,2150,39449,1.0,0,0,3,1420,730,5242 336th Ave SE,47,0,13,530700.0
160000.0,3.0,1.0,860,11900,1.0,0,0,4,860,0,27204 116th Pl SE,62,0,17,279362.87557603227
930000.0,3.0,2.5,3100,20553,1.0,0,0,3,3100,0,1456 NW 185th St,71,1,35,573482.2285714286
139000.0,3.0,1.0,1100,17334,1.0,0,0,3,1100,0,33610 51st Ave S,47,0,1,257853.87456446342
562000.0,3.0,1.5,1830,8000,1.0,0,0,4,1830,0,920 163rd Ave SE,68,1,3,515741.0714285714
299000.0,2.0,1.75,1250,34395,1.0,0,0,4,1250,0,1400 S 359th St,75,1,14,308897.9411764706
511000.0,3.0,2.5,1820,4883,2.0,0,0,3,1820,0,14800-14822 88th Ave NE,20,0,16,443294.9629629556
499000.0,3.0,2.0,2090,42689,1.5,0,0,3,2090,0,30004 SE Lake Retreat S Dr,66,1,29,576500.0
356000.0,3.0,3.5,2100,12384,2.0,0,0,3,2100,0,14937 57th Ave S,45,0,39,217939.0586080577
470000.0,4.0,2.5,2310,14023,2.0,0,0,3,2310,0,14923 280th Pl NE,34,0,11,411944.94252872415
715000.0,4.0,2.25,2060,5649,1.0,0,0,5,1360,700,3305 39th Ave W,84,0,34,638763.1461038864
458000.0,3.0,1.0,1660,7500,1.0,0,0,4,1060,600,2000 NE 113th St,85,1,34,430247.0588235294
966000.0,5.0,4.5,3810,8019,2.0,0,0,3,3810,0,2033 211th Pl SE,17,0,32,695563.4251727719
305495.0,3.0,1.75,2110,10200,2.0,0,0,4,2110,0,14244 140th Ave SE,59,0,31,469778.3384703288
543000.0,2.0,2.0,2370,217800,1.5,0,0,3,1600,770,11400-11598 SE 114th Pl,33,0,15,559327.2878787878
340000.0,3.0,2.25,1970,3716,2.0,0,0,3,1970,0,504 Shelton Ct NE,28,0,31,378732.11477411113
633100.0,4.0,2.5,2470,33305,2.0,0,0,3,2470,0,26021 NE 25th St,32,0,30,630069.4283913913
310000.0,3.0,1.0,1480,7830,1.0,0,0,3,1480,0,1909 N 195th St,73,1,35,378160.2523809571
349950.0,5.0,3.0,2257,10117,1.0,0,0,3,1363,894,3755 S 168th St,20,0,33,260046.0
267800.0,2.0,1.0,700,6000,1.0,0,0,4,700,0,16824 11th Pl NE,76,1,35,357609.80265340296
234000.0,4.0,2.0,1630,9010,1.0,0,0,4,1050,580,10872 SE 318th Pl,50,0,1,376849.4788926885
740000.0,4.0,2.5,3430,10157,2.0,0,0,3,3430,0,13622 NE 136th Pl,25,0,18,487277.53987948387
607500.0,5.0,1.75,2220,6000,1.5,0,0,3,1420,800,3047 21st Ave W,102,1,34,638763.1461038864
223000.0,3.0,1.75,1340,7473,1.0,0,0,4,1340,0,16 R Pl NE,52,0,1,219025.10714285713
400000.0,2.0,1.0,980,2130,1.0,0,0,4,860,120,6520-6588 8th Ave NW,107,1,34,550596.4760438709
802000.0,3.0,2.5,2580,13096,2.0,0,0,3,2580,0,6133 147th Pl NE,39,0,30,619039.4253998282
253000.0,4.0,2.5,2230,4541,2.0,0,0,3,2230,0,24217 181st Pl SE,19,0,9,293579.35420743836
1058000.0,4.0,2.0,2290,11137,1.0,0,0,4,2290,0,10441 SE 24th Pl,70,1,3,769721.4814814815
300000.0,3.0,1.0,1260,8280,1.0,0,0,3,1260,0,2559 NE 98th St,79,0,34,571454.7167487701
625000.0,4.0,2.75,1680,11180,1.0,0,0,4,1680,0,15924 NE 53rd St,59,0,30,619430.5331338617
707000.0,4.0,3.25,3200,7081,2.0,0,0,3,3200,0,26054 SE 23rd Pl,21,1,32,701941.3608452807
950000.0,4.0,2.5,3320,7644,2.0,0,0,3,3320,0,5491 175th Pl SE,30,0,3,645655.12109375
420000.0,4.0,2.5,3040,24123,2.0,0,0,3,3040,0,4620 Kennedy Ave SE,26,0,1,355295.69330105087
498000.0,4.0,2.75,2270,7375,1.0,0,0,4,1290,980,12901 NE 136th St,52,0,18,474532.8407413582
450000.0,3.0,2.5,2910,17172,2.0,0,0,3,2910,0,36023 3rd Ave S,36,0,14,292579.7368421053
955000.0,5.0,2.25,2510,9887,2.0,0,0,3,2510,0,7590 86th Ave SE,53,1,22,727724.5982905898
215000.0,2.0,1.0,1240,7200,1.0,0,0,3,1240,0,4036 S 119th St,58,1,39,227611.0
437000.0,3.0,2.75,2580,5200,2.0,0,0,3,2580,0,808 Hoquiam Ave NE,17,0,31,469778.3384703288
773000.0,3.0,2.75,2470,3600,2.0,0,0,3,2470,0,1458-1462 29th Pl NE,18,0,15,589797.8536155238
256883.0,3.0,2.5,1690,5025,2.0,0,0,3,1690,0,833 SW 361st St,22,0,14,282233.9282051231
592500.0,4.0,2.5,2240,12032,1.0,0,0,3,2240,0,24231 NE 5th Pl,42,1,32,590070.334213527
252350.0,3.0,2.0,1650,7352,1.0,0,0,3,1160,490,12902 SE 158th Pl,46,1,31,343346.2716967027
370000.0,4.0,2.5,2710,5880,2.0,0,0,3,2710,0,12713 SE 302nd St,27,1,1,362785.0668643492
465750.0,3.0,1.5,1260,10350,1.0,0,0,3,1260,0,16231 NE 29th St,66,1,3,527845.0
185000.0,3.0,1.0,1150,8100,1.0,0,0,3,1150,0,12208 20th Ave S,93,0,34,227611.0
582800.0,4.0,2.75,2550,7636,1.0,0,0,3,1440,1110,21023-21029 NE 42nd St,39,0,32,585092.6527134478
